Reg#,Courses,Score,Program,Sem,Year
600,CS-101,89,CS,Fall,1996
600,CS-102,60,CS,Fall,1996
600,CS-103,74,CS,Fall,1996
600,CS-104,68,CS,Fall,1996
600,SS-201,87,CS,Fall,1996
600,MS-301,63,CS,Fall,1996
601,CS-101,65,CS,Fall,1996
601,CS-102,72,CS,Fall,1996
601,CS-103,97,CS,Fall,1996
601,CS-104,62,CS,Fall,1996
601,SS-201,89,CS,Fall,1996
601,MS-301,65,CS,Fall,1996
602,CS-101,92,CS,Fall,1996
602,CS-102,85,CS,Fall,1996
602,CS-103,70,CS,Fall,1996
602,CS-104,73,CS,Fall,1996
602,SS-201,59,CS,Fall,1996
602,MS-301,68,CS,Fall,1996
603,CS-101,69,CS,Fall,1996
603,CS-102,97,CS,Fall,1996
603,CS-103,92,CS,Fall,1996
603,CS-104,67,CS,Fall,1996
603,SS-201,61,CS,Fall,1996
603,MS-301,70,CS,Fall,1996
604,CS-101,96,CS,Fall,1996
604,CS-102,59,CS,Fall,1996
604,CS-103,65,CS,Fall,1996
604,CS-104,79,CS,Fall,1996
604,SS-201,63,CS,Fall,1996
604,MS-301,72,CS,Fall,1996
605,CS-101,72,CS,Fall,1996
605,CS-102,72,CS,Fall,1996
605,CS-103,56,CS,Fall,1996
605,CS-104,72,CS,Fall,1996
605,SS-201,65,CS,Fall,1996
605,MS-301,74,CS,Fall,1996
606,CS-101,99,CS,Fall,1996
606,CS-102,84,CS,Fall,1996
606,CS-103,79,CS,Fall,1996
606,CS-104,84,CS,Fall,1996
606,SS-201,67,CS,Fall,1996
606,MS-301,76,CS,Fall,1996
607,CS-101,58,CS,Fall,1996
607,CS-102,97,CS,Fall,1996
607,CS-103,51,CS,Fall,1996
607,CS-104,77,CS,Fall,1996
607,SS-201,69,CS,Fall,1996
607,MS-301,78,CS,Fall,1996
608,CS-101,85,CS,Fall,1996
608,CS-102,91,CS,Fall,1996
608,CS-103,74,CS,Fall,1996
608,CS-104,89,CS,Fall,1996
608,SS-201,89,CS,Fall,1996
608,MS-301,80,CS,Fall,1996
609,CS-101,61,CS,Fall,1996
609,CS-102,54,CS,Fall,1996
609,CS-103,97,CS,Fall,1996
609,CS-104,82,CS,Fall,1996
609,SS-201,91,CS,Fall,1996
609,MS-301,82,CS,Fall,1996
610,CS-101,88,CS,Fall,1996
610,CS-102,66,CS,Fall,1996
610,CS-103,70,CS,Fall,1996
610,CS-104,94,CS,Fall,1996
610,SS-201,93,CS,Fall,1996
610,MS-301,84,CS,Fall,1996
611,CS-101,65,CS,Fall,1996
611,CS-102,79,CS,Fall,1996
611,CS-103,92,CS,Fall,1996
611,CS-104,88,CS,Fall,1996
611,SS-201,95,CS,Fall,1996
611,MS-301,86,CS,Fall,1996
612,CS-101,92,CS,Fall,1996
612,CS-102,91,CS,Fall,1996
612,CS-103,65,CS,Fall,1996
612,CS-104,99,CS,Fall,1996
612,SS-201,97,CS,Fall,1996
612,MS-301,89,CS,Fall,1996
613,CS-101,68,CS,Fall,1996
613,CS-102,54,CS,Fall,1996
613,CS-103,88,CS,Fall,1996
613,CS-104,93,CS,Fall,1996
613,SS-201,66,CS,Fall,1996
613,MS-301,91,CS,Fall,1996
614,CS-101,95,CS,Fall,1996
614,CS-102,66,CS,Fall,1996
614,CS-103,60,CS,Fall,1996
614,CS-104,54,CS,Fall,1996
614,SS-201,68,CS,Fall,1996
614,MS-301,93,CS,Fall,1996
615,CS-101,54,CS,Fall,1996
615,CS-102,78,CS,Fall,1996
615,CS-103,83,CS,Fall,1996
615,CS-104,98,CS,Fall,1996
615,SS-201,70,CS,Fall,1996
615,MS-301,95,CS,Fall,1996
616,CS-101,80,CS,Fall,1996
616,CS-102,91,CS,Fall,1996
616,CS-103,74,CS,Fall,1996
616,CS-104,60,CS,Fall,1996
616,SS-201,72,CS,Fall,1996
616,MS-301,97,CS,Fall,1996
617,CS-101,57,CS,Fall,1996
617,CS-102,53,CS,Fall,1996
617,CS-103,97,CS,Fall,1996
617,CS-104,53,CS,Fall,1996
617,SS-201,74,CS,Fall,1996
617,MS-301,99,CS,Fall,1996
618,CS-101,84,CS,Fall,1996
618,CS-102,66,CS,Fall,1996
618,CS-103,69,CS,Fall,1996
618,CS-104,65,CS,Fall,1996
618,SS-201,94,CS,Fall,1996
618,MS-301,51,CS,Fall,1996
619,CS-101,61,CS,Fall,1996
619,CS-102,60,CS,Fall,1996
619,CS-103,92,CS,Fall,1996
619,CS-104,58,CS,Fall,1996
619,SS-201,96,CS,Fall,1996
619,MS-301,53,CS,Fall,1996
620,CS-101,87,CS,Fall,1996
620,CS-102,73,CS,Fall,1996
620,CS-103,65,CS,Fall,1996
620,CS-104,70,CS,Fall,1996
620,SS-201,98,CS,Fall,1996
620,MS-301,55,CS,Fall,1996
621,CS-101,64,CS,Fall,1996
621,CS-102,85,CS,Fall,1996
