SID,Degree,Semester,Course,Marks,Discipline
3600,BS,Fall03,CS-101,66,CS
3600,BS,Fall03,CS-102,83,CS
3600,BS,Fall03,CS-103,74,CS
3600,BS,Fall03,CS-104,73,CS
3600,BS,Fall03,SS-201,68,CS
3600,BS,Fall03,MS-301,97,CS
3601,BS,Fall03,CS-101,93,CS
3601,BS,Fall03,CS-102,95,CS
3601,BS,Fall03,CS-103,96,CS
3601,BS,Fall03,CS-104,85,CS
3601,BS,Fall03,SS-201,70,CS
3601,BS,Fall03,MS-301,99,CS
3602,BS,Fall03,CS-101,52,CS
3602,BS,Fall03,CS-102,58,CS
3602,BS,Fall03,CS-103,69,CS
3602,BS,Fall03,CS-104,78,CS
3602,BS,Fall03,SS-201,72,CS
3602,BS,Fall03,MS-301,51,CS
3603,BS,Fall03,CS-101,79,CS
3603,BS,Fall03,CS-102,70,CS
3603,BS,Fall03,CS-103,92,CS
3603,BS,Fall03,CS-104,90,CS
3603,BS,Fall03,SS-201,92,CS
3603,BS,Fall03,MS-301,53,CS
3604,BS,Fall03,CS-101,55,CS
3604,BS,Fall03,CS-102,83,CS
3604,BS,Fall03,CS-103,65,CS
3604,BS,Fall03,CS-104,83,CS
3604,BS,Fall03,SS-201,94,CS
3604,BS,Fall03,MS-301,55,CS
3605,BS,Fall03,CS-101,82,CS
3605,BS,Fall03,CS-102,95,CS
3605,BS,Fall03,CS-103,55,CS
3605,BS,Fall03,CS-104,95,CS
3605,BS,Fall03,SS-201,96,CS
3605,BS,Fall03,MS-301,57,CS
3606,BS,Fall03,CS-101,59,CS
3606,BS,Fall03,CS-102,57,CS
3606,BS,Fall03,CS-103,78,CS
3606,BS,Fall03,CS-104,89,CS
3606,BS,Fall03,SS-201,98,CS
3606,BS,Fall03,MS-301,59,CS
3607,BS,Fall03,CS-101,85,CS
3607,BS,Fall03,CS-102,70,CS
3607,BS,Fall03,CS-103,51,CS
3607,BS,Fall03,CS-104,50,CS
3607,BS,Fall03,SS-201,50,CS
3607,BS,Fall03,MS-301,62,CS
3608,BS,Fall03,CS-101,62,CS
3608,BS,Fall03,CS-102,82,CS
3608,BS,Fall03,CS-103,73,CS
3608,BS,Fall03,CS-104,94,CS
3608,BS,Fall03,SS-201,70,CS
3608,BS,Fall03,MS-301,64,CS
3609,BS,Fall03,CS-101,89,CS
3609,BS,Fall03,CS-102,77,CS
3609,BS,Fall03,CS-103,96,CS
3609,BS,Fall03,CS-104,55,CS
3609,BS,Fall03,SS-201,72,CS
3609,BS,Fall03,MS-301,66,CS
3610,BS,Fall03,CS-101,66,CS
3610,BS,Fall03,CS-102,89,CS
3610,BS,Fall03,CS-103,69,CS
3610,BS,Fall03,CS-104,99,CS
3610,BS,Fall03,SS-201,73,CS
3610,BS,Fall03,MS-301,68,CS
3611,BS,Fall03,CS-101,74,CS
3611,BS,Fall03,CS-102,52,CS
3611,BS,Fall03,CS-103,92,CS
3611,BS,Fall03,CS-104,61,CS
3611,BS,Fall03,SS-201,75,CS
3611,BS,Fall03,MS-301,70,CS
3612,BS,Fall03,CS-101,51,CS
3612,BS,Fall03,CS-102,64,CS
3612,BS,Fall03,CS-103,64,CS
3612,BS,Fall03,CS-104,54,CS
3612,BS,Fall03,SS-201,77,CS
3612,BS,Fall03,MS-301,72,CS
3613,BS,Fall03,CS-101,78,CS
3613,BS,Fall03,CS-102,77,CS
3613,BS,Fall03,CS-103,87,CS
3613,BS,Fall03,CS-104,66,CS
3613,BS,Fall03,SS-201,79,CS
3613,BS,Fall03,MS-301,74,CS
3614,BS,Fall03,CS-101,55,CS
3614,BS,Fall03,CS-102,89,CS
3614,BS,Fall03,CS-103,60,CS
3614,BS,Fall03,CS-104,59,CS
3614,BS,Fall03,SS-201,99,CS
3614,BS,Fall03,MS-301,76,CS
3615,BS,Fall03,CS-101,81,CS
3615,BS,Fall03,CS-102,51,CS
3615,BS,Fall03,CS-103,83,CS
3615,BS,Fall03,CS-104,71,CS
3615,BS,Fall03,SS-201,51,CS
3615,BS,Fall03,MS-301,78,CS
3616,BS,Fall03,CS-101,58,CS
3616,BS,Fall03,CS-102,64,CS
3616,BS,Fall03,CS-103,73,CS
3616,BS,Fall03,CS-104,64,CS
3616,BS,Fall03,SS-201,53,CS
3616,BS,Fall03,MS-301,80,CS
3617,BS,Fall03,CS-101,85,CS
3617,BS,Fall03,CS-102,76,CS
3617,BS,Fall03,CS-103,96,CS
3617,BS,Fall03,CS-104,76,CS
3617,BS,Fall03,SS-201,55,CS
3617,BS,Fall03,MS-301,82,CS
3618,BS,Fall03,CS-101,62,CS
3618,BS,Fall03,CS-102,89,CS
3618,BS,Fall03,CS-103,69,CS
3618,BS,Fall03,CS-104,70,CS
3618,BS,Fall03,SS-201,57,CS
3618,BS,Fall03,MS-301,85,CS
3619,BS,Fall03,CS-101,70,CS
3619,BS,Fall03,CS-102,83,CS
3619,BS,Fall03,CS-103,91,CS
3619,BS,Fall03,CS-104,81,CS
3619,BS,Fall03,SS-201,77,CS
3619,BS,Fall03,MS-301,87,CS
3620,BS,Fall03,CS-101,97,CS
3620,BS,Fall03,CS-102,96,CS
3620,BS,Fall03,CS-103,64,CS
3620,BS,Fall03,CS-104,75,CS
3620,BS,Fall03,SS-201,79,CS
3620,BS,Fall03,MS-301,89,CS
3621,BS,Fall03,CS-101,74,CS
3621,BS,Fall03,CS-102,58,CS
3621,BS,Fall03,CS-103,87,CS
3621,BS,Fall03,CS-104,86,CS
3621,BS,Fall03,SS-201,81,CS
3621,BS,Fall03,MS-301,91,CS
3622,BS,Fall03,CS-101,50,CS
3622,BS,Fall03,CS-102,71,CS
3622,BS,Fall03,CS-103,60,CS
3622,BS,Fall03,CS-104,80,CS
3622,BS,Fall03,SS-201,83,CS
3622,BS,Fall03,MS-301,93,CS
3623,BS,Fall03,CS-101,77,CS
3623,BS,Fall03,CS-102,83,CS
3623,BS,Fall03,CS-103,82,CS
3623,BS,Fall03,CS-104,92,CS
3623,BS,Fall03,SS-201,85,CS
3623,BS,Fall03,MS-301,95,CS
3624,BS,Fall03,CS-101,54,CS
3624,BS,Fall03,CS-102,96,CS
3624,BS,Fall03,CS-103,55,CS
3624,BS,Fall03,CS-104,85,CS
3624,BS,Fall03,SS-201,55,CS
3624,BS,Fall03,MS-301,97,CS
3625,BS,Fall03,CS-101,81,CS
3625,BS,Fall03,CS-102,58,CS
3625,BS,Fall03,CS-103,78,CS
3625,BS,Fall03,CS-104,97,CS
3625,BS,Fall03,SS-201,56,CS
3625,BS,Fall03,MS-301,99,CS
3626,BS,Fall03,CS-101,57,CS
3626,BS,Fall03,CS-102,70,CS
3626,BS,Fall03,CS-103,51,CS
3626,BS,Fall03,CS-104,90,CS
3626,BS,Fall03,SS-201,58,CS
3626,BS,Fall03,MS-301,51,CS
3627,BS,Fall03,CS-101,84,CS
3627,BS,Fall03,CS-102,83,CS
3627,BS,Fall03,CS-103,91,CS
3627,BS,Fall03,CS-104,52,CS
3627,BS,Fall03,SS-201,60,CS
3627,BS,Fall03,MS-301,53,CS
3628,BS,Fall03,CS-101,93,CS
3628,BS,Fall03,CS-102,95,CS
3628,BS,Fall03,CS-103,64,CS
3628,BS,Fall03,CS-104,96,CS
3628,BS,Fall03,SS-201,62,CS
3628,BS,Fall03,MS-301,56,CS
3629,BS,Fall03,CS-101,70,CS
3629,BS,Fall03,CS-102,58,CS
3629,BS,Fall03,CS-103,87,CS
3629,BS,Fall03,CS-104,57,CS
3629,BS,Fall03,SS-201,64,CS
3629,BS,Fall03,MS-301,58,CS
3630,BS,Fall03,CS-101,96,CS
3630,BS,Fall03,CS-102,52,CS
3630,BS,Fall03,CS-103,59,CS
3630,BS,Fall03,CS-104,51,CS
3630,BS,Fall03,SS-201,84,CS
3630,BS,Fall03,MS-301,60,CS
3631,BS,Fall03,CS-101,73,CS
3631,BS,Fall03,CS-102,65,CS
3631,BS,Fall03,CS-103,82,CS
3631,BS,Fall03,CS-104,62,CS
3631,BS,Fall03,SS-201,86,CS
3631,BS,Fall03,MS-301,62,CS
3632,BS,Fall03,CS-101,50,CS
3632,BS,Fall03,CS-102,77,CS
3632,BS,Fall03,CS-103,55,CS
3632,BS,Fall03,CS-104,56,CS
3632,BS,Fall03,SS-201,88,CS
3632,BS,Fall03,MS-301,64,CS
3633,BS,Fall03,CS-101,76,CS
3633,BS,Fall03,CS-102,90,CS
3633,BS,Fall03,CS-103,78,CS
3633,BS,Fall03,CS-104,68,CS
3633,BS,Fall03,SS-201,90,CS
3633,BS,Fall03,MS-301,66,CS
3634,BS,Fall03,CS-101,53,CS
3634,BS,Fall03,CS-102,52,CS
3634,BS,Fall03,CS-103,50,CS
3634,BS,Fall03,CS-104,61,CS
3634,BS,Fall03,SS-201,92,CS
3634,BS,Fall03,MS-301,68,CS
3635,BS,Fall03,CS-101,80,CS
