SID,Degree,Semester,Course,Marks,Discipline
0,MS,Fall20,CS-801,72,MS-CS
0,MS,Fall20,CS-802,76,MS-CS
0,MS,Fall20,CS-703,50,MS-CS
1,MS,Fall20,CS-801,74,MS-CS
1,MS,Fall20,CS-802,78,MS-CS
1,MS,Fall20,CS-703,58,MS-CS
2,MS,Fall20,CS-801,50,MS-CS
2,MS,Fall20,CS-802,90,MS-CS
2,MS,Fall20,CS-703,81,MS-CS
3,MS,Fall20,CS-801,77,MS-CS
3,MS,Fall20,CS-802,52,MS-CS
3,MS,Fall20,CS-703,53,MS-CS
4,MS,Fall20,CS-801,54,MS-CS
4,MS,Fall20,CS-802,65,MS-CS
4,MS,Fall20,CS-703,76,MS-CS
5,MS,Fall20,CS-801,80,MS-CS
5,MS,Fall20,CS-802,77,MS-CS
5,MS,Fall20,CS-703,99,MS-CS
6,MS,Fall20,CS-801,89,MS-CS
6,MS,Fall20,CS-802,90,MS-CS
6,MS,Fall20,CS-703,72,MS-CS
7,MS,Fall20,CS-801,66,MS-CS
7,MS,Fall20,CS-802,52,MS-CS
7,MS,Fall20,CS-703,94,MS-CS
8,MS,Fall20,CS-801,93,MS-CS
8,MS,Fall20,CS-802,97,MS-CS
8,MS,Fall20,CS-703,67,MS-CS
9,MS,Fall20,CS-801,69,MS-CS
9,MS,Fall20,CS-802,59,MS-CS
9,MS,Fall20,CS-703,90,MS-CS
10,MS,Fall20,CS-801,96,MS-CS
10,MS,Fall20,CS-802,72,MS-CS
10,MS,Fall20,CS-703,62,MS-CS
11,MS,Fall20,CS-801,73,MS-CS
11,MS,Fall20,CS-802,84,MS-CS
11,MS,Fall20,CS-703,85,MS-CS
12,MS,Fall20,CS-801,50,MS-CS
12,MS,Fall20,CS-802,97,MS-CS
12,MS,Fall20,CS-703,76,MS-CS
13,MS,Fall20,CS-801,76,MS-CS
13,MS,Fall20,CS-802,59,MS-CS
13,MS,Fall20,CS-703,99,MS-CS
14,MS,Fall20,CS-801,85,MS-CS
14,MS,Fall20,CS-802,71,MS-CS
14,MS,Fall20,CS-703,71,MS-CS
15,MS,Fall20,CS-801,62,MS-CS
15,MS,Fall20,CS-802,84,MS-CS
15,MS,Fall20,CS-703,94,MS-CS
16,MS,Fall20,CS-801,89,MS-CS
16,MS,Fall20,CS-802,96,MS-CS
16,MS,Fall20,CS-703,67,MS-CS
