Reg#,Courses,Score,Program,Sem,Year
100,CS-801,54,MS-CS,Fall,2002
100,CS-802,98,MS-CS,Fall,2002
100,CS-703,52,MS-CS,Fall,2002
101,CS-801,81,MS-CS,Fall,2002
101,CS-802,61,MS-CS,Fall,2002
101,CS-703,92,MS-CS,Fall,2002
102,CS-801,57,MS-CS,Fall,2002
102,CS-802,73,MS-CS,Fall,2002
102,CS-703,65,MS-CS,Fall,2002
103,CS-801,84,MS-CS,Fall,2002
103,CS-802,68,MS-CS,Fall,2002
103,CS-703,88,MS-CS,Fall,2002
104,CS-801,61,MS-CS,Fall,2002
104,CS-802,80,MS-CS,Fall,2002
104,CS-703,61,MS-CS,Fall,2002
105,CS-801,87,MS-CS,Fall,2002
105,CS-802,92,MS-CS,Fall,2002
105,CS-703,83,MS-CS,Fall,2002
106,CS-801,96,MS-CS,Fall,2002
106,CS-802,55,MS-CS,Fall,2002
106,CS-703,56,MS-CS,Fall,2002
107,CS-801,73,MS-CS,Fall,2002
107,CS-802,67,MS-CS,Fall,2002
107,CS-703,79,MS-CS,Fall,2002
108,CS-801,50,MS-CS,Fall,2002
108,CS-802,80,MS-CS,Fall,2002
108,CS-703,52,MS-CS,Fall,2002
109,CS-801,76,MS-CS,Fall,2002
109,CS-802,92,MS-CS,Fall,2002
109,CS-703,74,MS-CS,Fall,2002
110,CS-801,53,MS-CS,Fall,2002
110,CS-802,55,MS-CS,Fall,2002
110,CS-703,97,MS-CS,Fall,2002
111,CS-801,80,MS-CS,Fall,2002
111,CS-802,67,MS-CS,Fall,2002
111,CS-703,70,MS-CS,Fall,2002
112,CS-801,57,MS-CS,Fall,2002
112,CS-802,80,MS-CS,Fall,2002
112,CS-703,60,MS-CS,Fall,2002
113,CS-801,83,MS-CS,Fall,2002
113,CS-802,92,MS-CS,Fall,2002
113,CS-703,83,MS-CS,Fall,2002
114,CS-801,92,MS-CS,Fall,2002
114,CS-802,87,MS-CS,Fall,2002
114,CS-703,56,MS-CS,Fall,2002
115,CS-801,69,MS-CS,Fall,2002
115,CS-802,99,MS-CS,Fall,2002
115,CS-703,79,MS-CS,Fall,2002
116,CS-801,95,MS-CS,Fall,2002
116,CS-802,61,MS-CS,Fall,2002
116,CS-703,51,MS-CS,Fall,2002
117,CS-801,72,MS-CS,Fall,2002
117,CS-802,74,MS-CS,Fall,2002
117,CS-703,74,MS-CS,Fall,2002
118,CS-801,99,MS-CS,Fall,2002
118,CS-802,86,MS-CS,Fall,2002
118,CS-703,97,MS-CS,Fall,2002
119,CS-801,76,MS-CS,Fall,2002
119,CS-802,99,MS-CS,Fall,2002
119,CS-703,70,MS-CS,Fall,2002
120,CS-801,52,MS-CS,Fall,2002
120,CS-802,61,MS-CS,Fall,2002
120,CS-703,92,MS-CS,Fall,2002
121,CS-801,79,MS-CS,Fall,2002
121,CS-802,74,MS-CS,Fall,2002
121,CS-703,65,MS-CS,Fall,2002
122,CS-801,56,MS-CS,Fall,2002
122,CS-802,86,MS-CS,Fall,2002
122,CS-703,88,MS-CS,Fall,2002
123,CS-801,65,MS-CS,Fall,2002
123,CS-802,99,MS-CS,Fall,2002
123,CS-703,78,MS-CS,Fall,2002
124,CS-801,91,MS-CS,Fall,2002
124,CS-802,93,MS-CS,Fall,2002
124,CS-703,51,MS-CS,Fall,2002
125,CS-801,68,MS-CS,Fall,2002
125,CS-802,55,MS-CS,Fall,2002
125,CS-703,74,MS-CS,Fall,2002
126,CS-801,95,MS-CS,Fall,2002
126,CS-802,68,MS-CS,Fall,2002
126,CS-703,97,MS-CS,Fall,2002
127,CS-801,72,MS-CS,Fall,2002
127,CS-802,80,MS-CS,Fall,2002
127,CS-703,69,MS-CS,Fall,2002
128,CS-801,98,MS-CS,Fall,2002
128,CS-802,93,MS-CS,Fall,2002
128,CS-703,92,MS-CS,Fall,2002
129,CS-801,75,MS-CS,Fall,2002
129,CS-802,55,MS-CS,Fall,2002
129,CS-703,65,MS-CS,Fall,2002
130,CS-801,52,MS-CS,Fall,2002
130,CS-802,68,MS-CS,Fall,2002
130,CS-703,88,MS-CS,Fall,2002
131,CS-801,60,MS-CS,Fall,2002
131,CS-802,80,MS-CS,Fall,2002
131,CS-703,60,MS-CS,Fall,2002
132,CS-801,87,MS-CS,Fall,2002
132,CS-802,93,MS-CS,Fall,2002
132,CS-703,83,MS-CS,Fall,2002
133,CS-801,64,MS-CS,Fall,2002
133,CS-802,55,MS-CS,Fall,2002
133,CS-703,56,MS-CS,Fall,2002
134,CS-801,91,MS-CS,Fall,2002
134,CS-802,68,MS-CS,Fall,2002
134,CS-703,78,MS-CS,Fall,2002
135,CS-801,67,MS-CS,Fall,2002
135,CS-802,62,MS-CS,Fall,2002
135,CS-703,69,MS-CS,Fall,2002
136,CS-801,94,MS-CS,Fall,2002
136,CS-802,74,MS-CS,Fall,2002
136,CS-703,92,MS-CS,Fall,2002
137,CS-801,71,MS-CS,Fall,2002
137,CS-802,87,MS-CS,Fall,2002
137,CS-703,65,MS-CS,Fall,2002
138,CS-801,98,MS-CS,Fall,2002
138,CS-802,99,MS-CS,Fall,2002
138,CS-703,87,MS-CS,Fall,2002
139,CS-801,56,MS-CS,Fall,2002
139,CS-802,62,MS-CS,Fall,2002
139,CS-703,60,MS-CS,Fall,2002
140,CS-801,83,MS-CS,Fall,2002
140,CS-802,74,MS-CS,Fall,2002
140,CS-703,83,MS-CS,Fall,2002
141,CS-801,60,MS-CS,Fall,2002
141,CS-802,87,MS-CS,Fall,2002
141,CS-703,55,MS-CS,Fall,2002
142,CS-801,86,MS-CS,Fall,2002
142,CS-802,99,MS-CS,Fall,2002
142,CS-703,78,MS-CS,Fall,2002
143,CS-801,63,MS-CS,Fall,2002
143,CS-802,62,MS-CS,Fall,2002
143,CS-703,51,MS-CS,Fall,2002
144,CS-801,90,MS-CS,Fall,2002
144,CS-802,74,MS-CS,Fall,2002
144,CS-703,74,MS-CS,Fall,2002
145,CS-801,67,MS-CS,Fall,2002
145,CS-802,68,MS-CS,Fall,2002
145,CS-703,96,MS-CS,Fall,2002
146,CS-801,93,MS-CS,Fall,2002
146,CS-802,81,MS-CS,Fall,2002
146,CS-703,87,MS-CS,Fall,2002
147,CS-801,70,MS-CS,Fall,2002
147,CS-802,93,MS-CS,Fall,2002
147,CS-703,60,MS-CS,Fall,2002
148,CS-801,79,MS-CS,Fall,2002
148,CS-802,56,MS-CS,Fall,2002
148,CS-703,83,MS-CS,Fall,2002
149,CS-801,56,MS-CS,Fall,2002
149,CS-802,68,MS-CS,Fall,2002
149,CS-703,55,MS-CS,Fall,2002
150,CS-801,82,MS-NW,Fall,2002
150,CS-802,81,MS-NW,Fall,2002
150,CS-703,78,MS-NW,Fall,2002
151,CS-801,59,MS-NW,Fall,2002
151,CS-802,93,MS-NW,Fall,2002
151,CS-703,51,MS-NW,Fall,2002
152,CS-801,86,MS-NW,Fall,2002
152,CS-802,56,MS-NW,Fall,2002
152,CS-703,73,MS-NW,Fall,2002
153,CS-801,63,MS-NW,Fall,2002
153,CS-802,68,MS-NW,Fall,2002
153,CS-703,96,MS-NW,Fall,2002
154,CS-801,89,MS-NW,Fall,2002
154,CS-802,81,MS-NW,Fall,2002
154,CS-703,69,MS-NW,Fall,2002
155,CS-801,66,MS-NW,Fall,2002
155,CS-802,93,MS-NW,Fall,2002
155,CS-703,92,MS-NW,Fall,2002
156,CS-801,75,MS-NW,Fall,2002
156,CS-802,87,MS-NW,Fall,2002
156,CS-703,64,MS-NW,Fall,2002
157,CS-801,51,MS-NW,Fall,2002
157,CS-802,50,MS-NW,Fall,2002
157,CS-703,55,MS-NW,Fall,2002
158,CS-801,78,MS-NW,Fall,2002
